Linha Consolidada;Arquivo
"BICTA20132 ECOLOGIA BÁSICA 60 h ; 7 componentes + 30h optativos + complementares 125h; 620 h";historico_201200299.pdf
BICTA0011 FÍSICA GERAL 60 h;historico_201200299.pdf
BICTA0010 ZOOLOGIA AQUÁTICA 60 h;historico_201200299.pdf
BICTA201321 CALCULO I 60 h;historico_201200299.pdf
BICTA0013 EXPRESSÃO GRÁFICA 45 h;historico_201200299.pdf
BICTA0030 GEOPROCESSAMENTO 60 h;historico_201200299.pdf
SCTA0053 TRABALHO DE CONCLUSÃO DE CURSO II 120 h;historico_201200299.pdf
"BICTA20132 ECOLOGIA BÁSICA 60 h ; 16 componentes + complementares 125h; 1100 h";historico_201200515.pdf
BICTA0008 FUNDAMENTOS DE CÁLCULO 60 h;historico_201200515.pdf
BICTA0004 QUÍMICA GERAL 60 h;historico_201200515.pdf
BICTA0027 INSTRUMENTAÇÃO LABORATORIAL E BIOSSEGURANÇA 45 h;historico_201200515.pdf
BICTA0011 FÍSICA GERAL 60 h;historico_201200515.pdf
BICTA0019 LIMNOLOGIA 60 h;historico_201200515.pdf
BICTA0020 INFORMÁTICA 45 h;historico_201200515.pdf
BICTA0029 BIOQUÍMICA 60 h;historico_201200515.pdf
BICTA0026 MICROBIOLOGIA 60 h;historico_201200515.pdf
BICTA201321 CALCULO I 60 h;historico_201200515.pdf
BICTA201323 ESTATÍSTICA EXPERIMENTAL 60 h;historico_201200515.pdf
BICTA201324 HIDROLOGIA E GESTÃO DE BACIAS HIDROGRÁFICAS 75 h;historico_201200515.pdf
BICTA0013 EXPRESSÃO GRÁFICA 45 h;historico_201200515.pdf
BICTA0012 QUALIDADE DA ÁGUA 45 h;historico_201200515.pdf
BICTA0030 GEOPROCESSAMENTO 60 h;historico_201200515.pdf
SCTA0053 TRABALHO DE CONCLUSÃO DE CURSO II 120 h;historico_201200515.pdf
"BICTA20132 ECOLOGIA BÁSICA 60 h ; 4 componentes + complementares 125h; 440 h";historico_201200715.pdf
BICTA0008 FUNDAMENTOS DE CÁLCULO 60 h;historico_201200715.pdf
BICTA0007 METODOLOGIA E COMUNICAÇÃO CIENTÍFICA 30 h;historico_201200715.pdf
SCTA0053 TRABALHO DE CONCLUSÃO DE CURSO II 120 h;historico_201200715.pdf
"BICTA20132 ECOLOGIA BÁSICA 60 h ; 6 componentes + complementares 125h; 450 h";historico_201200819.pdf
BICTA0009 SEMINÁRIOS INTEGRADORES II 10 h;historico_201200819.pdf
BICTA0007 METODOLOGIA E COMUNICAÇÃO CIENTÍFICA 30 h;historico_201200819.pdf
BICTA0013 EXPRESSÃO GRÁFICA 45 h;historico_201200819.pdf
BICTA201321 CALCULO I 60 h;historico_201200819.pdf
SCTA0053 TRABALHO DE CONCLUSÃO DE CURSO II 120 h;historico_201200819.pdf
"BICTA20132 ECOLOGIA BÁSICA 60 h ; 3 componentes + complementares 125h; 350 h";historico_201200877.pdf
BICTA0005 INTRODUÇÃO ÀS CIÊNCIAS AQUÁTICAS 45 h;historico_201200877.pdf
SCTA0053 TRABALHO DE CONCLUSÃO DE CURSO II 120 h;historico_201200877.pdf
"BICTA0008 FUNDAMENTOS DE CÁLCULO 60 h ; 8 componentes + 30h optativos + complementares 125h; 615 h";historico_201201133.pdf
BICTA20132 ECOLOGIA BÁSICA 60 h;historico_201201133.pdf
BICTA0009 SEMINÁRIOS INTEGRADORES II 10 h;historico_201201133.pdf
BICTA0026 MICROBIOLOGIA 60 h;historico_201201133.pdf
BICTA201324 HIDROLOGIA E GESTÃO DE BACIAS HIDROGRÁFICAS 75 h;historico_201201133.pdf
BICTA0013 EXPRESSÃO GRÁFICA 45 h;historico_201201133.pdf
BICTA201329 TCC I 30 h;historico_201201133.pdf
SCTA0053 TRABALHO DE CONCLUSÃO DE CURSO II 120 h;historico_201201133.pdf
"BICTA20132 ECOLOGIA BÁSICA 60 h ; 2 componentes + complementares 125h; 305 h";historico_201300045.pdf
SCTA0053 TRABALHO DE CONCLUSÃO DE CURSO II 120 h;historico_201300045.pdf
"CFI010001 SOCIEDADE, NATUREZA E DESENVOLVIMENTO 75 h ; 32 componentes + 120h optativos + complementares 125h; 2030 h";historico_201300568.pdf
BICTA0008 FUNDAMENTOS DE CÁLCULO 60 h;historico_201300568.pdf
BICTA0007 METODOLOGIA E COMUNICAÇÃO CIENTÍFICA 30 h;historico_201300568.pdf
BICTA0005 INTRODUÇÃO ÀS CIÊNCIAS AQUÁTICAS 45 h;historico_201300568.pdf
BICTA0001 BIOLOGIA GERAL 60 h;historico_201300568.pdf
BICTA0006 LEGISLAÇÃO AMBIENTAL 45 h;historico_201300568.pdf
BICTA0004 QUÍMICA GERAL 60 h;historico_201300568.pdf
BICTA20132 ECOLOGIA BÁSICA 60 h;historico_201300568.pdf
BICTA0020 INFORMÁTICA 45 h;historico_201300568.pdf
BICTA0010 ZOOLOGIA AQUÁTICA 60 h;historico_201300568.pdf
BICTA0019 LIMNOLOGIA 60 h;historico_201300568.pdf
BICTA0027 INSTRUMENTAÇÃO LABORATORIAL E BIOSSEGURANÇA 45 h;historico_201300568.pdf
BICTA0025 METEOROLOGIA E CLIMATOLOGIA 60 h;historico_201300568.pdf
BICTA0029 BIOQUÍMICA 60 h;historico_201300568.pdf
BICTA0018 GEOLOGIA GERAL 60 h;historico_201300568.pdf
BICTA0011 FÍSICA GERAL 60 h;historico_201300568.pdf
BICTA201321 CALCULO I 60 h;historico_201300568.pdf
BICTA0026 MICROBIOLOGIA 60 h;historico_201300568.pdf
BICTA0013 EXPRESSÃO GRÁFICA 45 h;historico_201300568.pdf
BICTA201324 HIDROLOGIA E GESTÃO DE BACIAS HIDROGRÁFICAS 75 h;historico_201300568.pdf
BICTA0012 QUALIDADE DA ÁGUA 45 h;historico_201300568.pdf
BICTA201323 ESTATÍSTICA EXPERIMENTAL 60 h;historico_201300568.pdf
BICTA201327 ÉTICA 45 h;historico_201300568.pdf
BICTA0032 GESTÃO DE RESÍDUOS 60 h;historico_201300568.pdf
BICTA201331 BIOTECNOLOGIA E BIOPROSPECÇÃO 45 h;historico_201300568.pdf
BICTA201332 POLUIÇÃO DE AMBIENTES AQUÁTICOS 60 h;historico_201300568.pdf
BICTA201336 GESTÃO DE UNIDADE DE CONSERVAÇÃO 45 h;historico_201300568.pdf
BICTA0023 TECNOLOGIAS LIMPAS 45 h;historico_201300568.pdf
BICTA0030 GEOPROCESSAMENTO 60 h;historico_201300568.pdf
